id,x,y,minlon,maxlon,minla,maxla,landuse
0.0,3.0,141.0,4.5151,4.518,52.3611,52.3629,3.0
1.0,4.0,141.0,4.518,4.521,52.3611,52.3629,1.0
2.0,4.0,142.0,4.518,4.521,52.363,52.3647,1.0
3.0,4.0,144.0,4.518,4.521,52.3665,52.3683,3.0
4.0,5.0,143.0,4.521,4.524,52.3647,52.3665,1.0
5.0,5.0,144.0,4.521,4.524,52.3665,52.3683,1.0
6.0,5.0,145.0,4.521,4.524,52.3684,52.3701,1.0
8.0,6.0,80.0,4.524,4.527,52.2513,52.2531,3.0
10.0,6.0,144.0,4.524,4.527,52.3665,52.3683,1.0
11.0,6.0,145.0,4.524,4.527,52.3684,52.3701,1.0
12.0,6.0,146.0,4.524,4.527,52.3701,52.3719,1.0
13.0,6.0,147.0,4.524,4.527,52.372,52.3737,1.0
15.0,7.0,74.0,4.527,4.53,52.2406,52.2423,1.0
17.0,7.0,145.0,4.527,4.53,52.3684,52.3701,1.0
18.0,7.0,146.0,4.527,4.53,52.3701,52.3719,1.0
19.0,7.0,147.0,4.527,4.53,52.372,52.3737,1.0
20.0,7.0,148.0,4.527,4.53,52.3737,52.3755,3.0
21.0,7.0,149.0,4.527,4.53,52.3755,52.3773,1.0
22.0,7.0,150.0,4.527,4.53,52.3774,52.3791,1.0
23.0,7.0,151.0,4.527,4.53,52.3791,52.3809,3.0
24.0,8.0,69.0,4.53,4.533,52.2316,52.2333,1.0
25.0,8.0,70.0,4.53,4.533,52.2333,52.2351,3.0
28.0,8.0,76.0,4.53,4.533,52.2442,52.2459,3.0
32.0,8.0,145.0,4.53,4.533,52.3684,52.3701,1.0
33.0,8.0,146.0,4.53,4.533,52.3701,52.3719,1.0
34.0,8.0,147.0,4.53,4.533,52.372,52.3737,1.0
35.0,8.0,148.0,4.53,4.533,52.3737,52.3755,1.0
36.0,8.0,149.0,4.53,4.533,52.3755,52.3773,1.0
37.0,8.0,150.0,4.53,4.533,52.3774,52.3791,1.0
38.0,8.0,151.0,4.53,4.533,52.3791,52.3809,3.0
39.0,8.0,152.0,4.53,4.533,52.381,52.3827,1.0
40.0,8.0,153.0,4.53,4.533,52.3827,52.3845,1.0
41.0,8.0,154.0,4.53,4.533,52.3845,52.3863,3.0
43.0,9.0,70.0,4.533,4.5360000000000005,52.2333,52.2351,1.0
44.0,9.0,71.0,4.533,4.5360000000000005,52.2351,52.2369,2.0
45.0,9.0,73.0,4.533,4.5360000000000005,52.2387,52.2405,3.0
46.0,9.0,76.0,4.533,4.5360000000000005,52.2442,52.2459,3.0
47.0,9.0,77.0,4.533,4.5360000000000005,52.2459,52.2477,3.0
49.0,9.0,144.0,4.533,4.5360000000000005,52.3665,52.3683,1.0
50.0,9.0,145.0,4.533,4.5360000000000005,52.3684,52.3701,1.0
51.0,9.0,146.0,4.533,4.5360000000000005,52.3701,52.3719,3.0
