id,x,y,minlon,maxlon,minla,maxla,landuse
0.0,0.0,203.0,-9.4983,-9.496,38.781,38.7827,3.0
6.0,6.0,201.0,-9.4845,-9.4822,38.7774,38.7791,2.0
8.0,6.0,212.0,-9.4845,-9.4822,38.7972,38.799,2.0
9.0,7.0,199.0,-9.4822,-9.4799,38.7738,38.7756,2.0
10.0,7.0,200.0,-9.4822,-9.4799,38.7756,38.7774,1.0
21.0,8.0,220.0,-9.4799,-9.4776,38.8116,38.8133,4.0
22.0,9.0,199.0,-9.4776,-9.4753,38.7738,38.7756,2.0
25.0,9.0,205.0,-9.4776,-9.4753,38.7846,38.7864,2.0
29.0,9.0,220.0,-9.4776,-9.4753,38.8116,38.8133,2.0
30.0,9.0,223.0,-9.4776,-9.4753,38.817,38.8187,4.0
31.0,10.0,172.0,-9.4753,-9.4731,38.7252,38.7269,3.0
32.0,10.0,174.0,-9.4753,-9.4731,38.7288,38.7305,3.0
36.0,10.0,212.0,-9.4753,-9.4731,38.7972,38.799,1.0
38.0,10.0,220.0,-9.4753,-9.4731,38.8116,38.8133,2.0
39.0,10.0,221.0,-9.4753,-9.4731,38.8134,38.8152,2.0
40.0,10.0,223.0,-9.4753,-9.4731,38.817,38.8187,3.0
41.0,10.0,224.0,-9.4753,-9.4731,38.8188,38.8206,3.0
42.0,11.0,169.0,-9.472999999999999,-9.4708,38.7198,38.7215,4.0
43.0,11.0,173.0,-9.472999999999999,-9.4708,38.727,38.7288,4.0
46.0,11.0,191.0,-9.472999999999999,-9.4708,38.7594,38.7611,2.0
48.0,11.0,211.0,-9.472999999999999,-9.4708,38.7954,38.7971,2.0
49.0,11.0,212.0,-9.472999999999999,-9.4708,38.7972,38.799,2.0
51.0,11.0,215.0,-9.472999999999999,-9.4708,38.8026,38.8044,2.0
53.0,11.0,219.0,-9.472999999999999,-9.4708,38.8098,38.8116,2.0
54.0,11.0,220.0,-9.472999999999999,-9.4708,38.8116,38.8133,2.0
55.0,11.0,224.0,-9.472999999999999,-9.4708,38.8188,38.8206,2.0
57.0,12.0,159.0,-9.4707,-9.4685,38.7018,38.7035,2.0
58.0,12.0,169.0,-9.4707,-9.4685,38.7198,38.7215,2.0
61.0,12.0,189.0,-9.4707,-9.4685,38.7558,38.7575,2.0
65.0,12.0,211.0,-9.4707,-9.4685,38.7954,38.7971,1.0
71.0,12.0,223.0,-9.4707,-9.4685,38.817,38.8187,2.0
72.0,12.0,224.0,-9.4707,-9.4685,38.8188,38.8206,3.0
74.0,12.0,227.0,-9.4707,-9.4685,38.8242,38.826,1.0
75.0,12.0,228.0,-9.4707,-9.4685,38.826,38.8277,1.0
76.0,12.0,229.0,-9.4707,-9.4685,38.8278,38.8296,4.0
