id,x,y,minlon,maxlon,minla,maxla,landuse
2,0,5,-74.2557,-74.2534,40.5051,40.5069,1
7,1,3,-74.2533,-74.2509,40.5015,40.5032,5
11,1,7,-74.2533,-74.2509,40.5087,40.5105,1
12,1,8,-74.2533,-74.2509,40.5105,40.5122,1
13,1,9,-74.2533,-74.2509,40.5123,40.5141,4
16,2,3,-74.2509,-74.2486,40.5015,40.5032,1
17,2,4,-74.2509,-74.2486,40.5033,40.5051,1
18,2,5,-74.2509,-74.2486,40.5051,40.5069,1
19,2,6,-74.2509,-74.2486,40.5069,40.5087,1
20,2,7,-74.2509,-74.2486,40.5087,40.5105,1
21,2,8,-74.2509,-74.2486,40.5105,40.5122,1
22,2,9,-74.2509,-74.2486,40.5123,40.5141,1
23,2,10,-74.2509,-74.2486,40.5141,40.5158,5
25,3,2,-74.2485,-74.2461,40.4997,40.5015,1
27,3,4,-74.2485,-74.2461,40.5033,40.5051,1
29,3,6,-74.2485,-74.2461,40.5069,40.5087,1
30,3,7,-74.2485,-74.2461,40.5087,40.5105,1
31,3,8,-74.2485,-74.2461,40.5105,40.5122,1
32,3,9,-74.2485,-74.2461,40.5123,40.5141,1
33,3,10,-74.2485,-74.2461,40.5141,40.5158,1
34,3,11,-74.2485,-74.2461,40.5159,40.5177,5
35,3,25,-74.2485,-74.2461,40.5411,40.5428,6
36,4,1,-74.2461,-74.2437,40.4979,40.4997,1
37,4,2,-74.2461,-74.2437,40.4997,40.5015,1
40,4,5,-74.2461,-74.2437,40.5051,40.5069,1
41,4,6,-74.2461,-74.2437,40.5069,40.5087,1
42,4,7,-74.2461,-74.2437,40.5087,40.5105,1
44,4,9,-74.2461,-74.2437,40.5123,40.5141,1
45,4,10,-74.2461,-74.2437,40.5141,40.5158,1
46,4,11,-74.2461,-74.2437,40.5159,40.5177,2
51,5,2,-74.2437,-74.2414,40.4997,40.5015,1
53,5,4,-74.2437,-74.2414,40.5033,40.5051,1
54,5,5,-74.2437,-74.2414,40.5051,40.5069,1
55,5,6,-74.2437,-74.2414,40.5069,40.5087,1
56,5,7,-74.2437,-74.2414,40.5087,40.5105,1
